Date,Temperature_C,Weather,Observer,Recorder,Start_Time,End_Time,Stimulus_ID,Stimulus_Mass,Stimulus_SVL,Stimulus_TL,Stimulus_Tail_broken,Stimulus_Sex,F_morph,number_nonfocals,Focal_ID,Focal_Species,Focal_Species_Code,Focal_Mass,Focal_SVL,Focal_TL,Focal_Tail_broken,Focal_Sex,Focal_F_morph,Focal_Headbob_Pushup,Focal_number_headbob_pushups,Focal_HB_PU_Latency,Focal_Dewlap_extension,Focal_number_dewlap_extensions,Focal_DE_Latency,Focal_Approach,Focal_Approach_Latency,Focal_Flee,Focal_Flee_Latency,Focal_Bite,Focal_Bite_Latency,Focal_Crest_Erection,Focal_Crest_Erection_Latency,Focal_Crest_Latency,Focal_Changed_Color,Focal_ColorChange_Latency,Focal_Eat,Focal_Taste_Substrate,Focal_Retreat,Retreat_Latency,Stim_F_morph,Stim_Headbob_Pushup,Stim_number_head_bob_pushups,Stim_HBPU_Latency,Stim_Dewlap_extension,Stim_number_dewlap_extensions,Stim_Dewlap_Latency,Stim_Approach,Stim_Approach_Latency,Stim_Flee,Stim_Flee_Latency,Stim_Bite,Stim_Bite_Latency,Stim_Crest_Erection,Stim_Crest_Erection_Latency,Stim_Color_Change,Stim_ColorChange_Latency,Stim_Eat,Stim_Taste_Substrate,Trial.Time
3/18/21,28.3,Sunny/Partly cloudy,JF,MM,1515,1545,AnsaS1,6,62,161,N,M,,1,MJAndiF1,Anolis distichus,Andi,,,,,,,N,,,N,,,N,,N,1,N,,N,,,N,,N,N,,,,N,,,N,,,N,,N,,N,,N,,N,,N,N,30
3/18/21,28.3,Sunny/Partly cloudy,JF,MM,1515,1545,AnsaS1,6,62,161,N,M,,1,MJAnsaF1,Anolis sagrei,Ansa,,,,,M,,Y,2,540,Y,3,537,N,,N,,N,,N,,,Y,460,N,N,,,,Y,3,2,Y,2,517,N,,N,,N,,N,,N,,N,N,30
3/18/21,28.3,Sunny/Partly cloudy,WA,GS,,,AnsaS11,5,61,168,Y,M,,0,GWAndiF2,Anolis distichus,Andi,,,,,,,N,,,N,,,N,,Y,0,N,,N,,,N,,N,N,,,,N,,,N,,,N,,N,,N,,N,,N,,N,N,0
3/18/21,28.3,Sunny/Partly cloudy,WA,GS,,,AnsaS11,5,61,168,Y,M,,1,GWAnsaF2,Anolis sagrei,Ansa,1.5,41,116,N,M,,N,,,Y,1,28,N,,Y,57,N,,N,,,N,,N,N,,,,N,,,N,,,N,,N,,N,,N,,N,,N,N,0
3/18/21,28.3,Sunny/Partly cloudy,SR,AA,1640,1650,AnsaS12,5.2,59,172,N,M,,0,ASAndiF2,Anolis distichus,Andi,3.8,51,111,N,M,,Y,2,3,Y,6,300,Y,320,Y,107,N,,N,,,,,N,N,,,,N,,,Y,4,300,Y,320,N,,N,,N,,,,Y,N,10
3/18/21,28.3,Sunny/Partly cloudy,SR,AA,1715,1715,AnsaS12,5.2,59,172,N,M,,0,ASAnsaF2,Anolis sagrei,Ansa,,,,N,M,,N,,,N,,,N,,Y,55,N,,N,,,,,Y,N,,,,N,,,Y,1,1,N,,N,,N,,N,,,,N,N,0
3/18/21,28.3,Sunny/Partly cloudy,CQ,AM,1608,1623,AnsaS13,3.8,55,139,Y,M,,0,CAAndiF1,Anolis distichus,Andi,,,,,M,,N,,,Y,3,313,N,,N,,N,,,,,Y,357,N,N,,,,Y,9,122,Y,14,30,Y,94,N,,N,,N,,Y,568,N,N,15
3/18/21,28.3,Sunny/Partly cloudy,CQ,AM,1637,1652,AnsaS13,3.8,55,139,Y,M,,0,CAAnsaF1,Anolis sagrei,Ansa,5.1,61,171,N,M,,Y,8,69,Y,13,82,Y,110,N,,N,,N,,,Y,599,N,N,,,,N,,,Y,1,477,N,,N,,N,,N,,Y,279,N,N,15
3/18/21,28.3,Sunny/Partly cloudy,JF,MM,1725,1725,AnsaS16,1.6,49,101,Y,F,ML,0,MJAndiF4,Anolis distichus,Andi,,,,,,,N,,,N,,,N,,Y,0,N,,N,,,N,,N,N,,,,N,,,N,,,N,,N,,N,,N,,N,,N,N,0
3/18/21,28.3,Sunny/Partly cloudy,JF,MM,1731,1731,AnsaS16,1.6,49,101,Y,F,ML,2,MJAnsaF3,Anolis sagrei,Ansa,2,44,105,Y,F,ML,N,,,N,,,N,,N,,Y,30,N,,,N,,N,N,,,,N,,,N,,,N,,Y,16,N,,N,,N,,N,N,0
