Date,Temperature_C,Weather,Observer,Recorder,Start_Time,End_Time,Stimulus_ID,Stimulus_Mass,Stimulus_SVL,Stimulus_TL,Stimulus_Tail_broken,Stimulus_Sex,F_morph,number_nonfocals,Focal_ID,Focal_Species,Focal_Species_Code,Focal_Mass,Focal_SVL,Focal_TL,Focal_Tail_broken,Focal_Sex,Focal_F_morph,Focal_Headbob_Pushup,Focal_number_headbob_pushups,Focal_HB_PU_Latency,Focal_Dewlap_extension,Focal_number_dewlap_extensions,Focal_DE_Latency,Focal_Approach,Focal_Approach_Latency,Focal_Flee,Focal_Flee_Latency,Focal_Bite,Focal_Bite_Latency,Focal_Crest_Erection,Focal_Crest_Erection_Latency,Focal_Crest_Latency,Focal_Changed_Color,Focal_ColorChange_Latency,Focal_Eat,Focal_Taste_Substrate,Focal_Retreat,Retreat_Latency,Stim_F_morph,Stim_Headbob_Pushup,Stim_number_head_bob_pushups,Stim_HBPU_Latency,Stim_Dewlap_extension,Stim_number_dewlap_extensions,Stim_Dewlap_Latency,Stim_Approach,Stim_Approach_Latency,Stim_Flee,Stim_Flee_Latency,Stim_Bite,Stim_Bite_Latency,Stim_Crest_Erection,Stim_Crest_Erection_Latency,Stim_Color_Change,Stim_ColorChange_Latency,Stim_Eat,Stim_Taste_Substrate,Trial.Time
3/18/21,28.3,Sunny/Partly cloudy,CQ,AM,1637,1652,AnsaS13,3.8,55,139,1,M,NA,0,CAAnsaF1,Anolis sagrei,Ansa,5.1,61,171,0,M,NA,1,8,69,1,13,82,1,110,0,NA,0,NA,0,NA,NA,1,599,0,0,NA,NA,NA,0,NA,NA,1,1,477,0,NA,0,NA,0,NA,0,NA,1,279,0,0,15
3/18/21,28.3,Sunny/Partly cloudy,CQ,AM,1714,1729,AnsaS17F,2,46,149,0,F,ML,1,CAAndiF2,Anolis distichus,Andi,NA,NA,NA,NA,NA,NA,1,2,502,0,NA,NA,1,449,0,NA,0,NA,0,NA,NA,0,NA,0,0,1,19,ML,0,NA,NA,0,NA,NA,1,137,0,NA,0,NA,0,NA,0,NA,0,0,15
3/25/21,27.8,Sunny/Partly cloudy,SR,AA,1708,1718,AnsaS33,2.7,53,136,1,M,NA,2,ASAnsaF7,Anolis sagrei,Ansa,NA,NA,NA,NA,M,NA,1,1,507,0,NA,NA,1,507,0,NA,0,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,1,3,237,1,1,140,1,525,0,NA,0,NA,0,NA,0,NA,0,0,10
3/25/21,27.8,Sunny/Partly cloudy,JF,MM,1616,1622,AnsaS34,5.6,63,176,0,M,NA,0,MJAnsaF12,Anolis sagrei,Ansa,NA,NA,NA,NA,M,NA,1,6,20,1,8,10,1,60,0,NA,0,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,1,2,300,1,11,10,1,120,1,360,0,NA,0,NA,0,NA,0,0,6
4/1/21,30,Mostly Cloudy,SR,AA,1534,1535,AnsaS41,1.3,42,11,1,F,ML,0,ASAnsaF9,Anolis sagrei,Ansa,NA,NA,NA,NA,F,NA,1,1,72,0,NA,NA,1,28,0,NA,0,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,1,1,72,0,NA,NA,0,NA,1,171,0,NA,0,NA,0,NA,0,0,1
4/1/21,30,Mostly Cloudly,CQ,AM,1759,NA,AnsaS51,3.6,54,65,0,M,NA,0,CAAndiF13,Anolis distichus,Andi,2.9,44,72,0,F,NA,1,2,58,0,NA,NA,1,127,0,NA,0,NA,0,NA,NA,0,NA,0,0,0,NA,NA,1,1,582,1,15,140,1,580,0,NA,0,NA,0,NA,0,NA,0,0,NA
4/1/21,28.9,Raining,JF,MM,1714,1724,AnsaS55,4.3,56,146,1,M,NA,1,MJAnsaF14,Anolis sagrei,Ansa,NA,NA,NA,NA,NA,NA,1,3,561,0,NA,NA,1,560,0,NA,0,NA,0,NA,NA,1,337,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,1,260,0,0,10
3/18/21,28.3,Sunny/Partly cloudy,JF,MM,1515,1545,AnsaS1,6,62,161,0,M,NA,1,MJAnsaF1,Anolis sagrei,Ansa,NA,NA,NA,NA,M,NA,1,2,540,1,3,537,0,NA,0,NA,0,NA,0,NA,NA,1,460,0,0,NA,NA,NA,1,3,2,1,2,517,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,30
3/18/21,28.3,Sunny/Partly cloudy,CQ,AM,1608,1623,AnsaS13,3.8,55,139,1,M,NA,0,CAAndiF1,Anolis distichus,Andi,NA,NA,NA,NA,M,NA,0,NA,NA,1,3,313,0,NA,0,NA,0,NA,NA,NA,NA,1,357,0,0,NA,NA,NA,1,9,122,1,14,30,1,94,0,NA,0,NA,0,NA,1,568,0,0,15
4/1/21,28.9,Light Drizzle/Cloudy,WA,GS,1620,1630,AnsaS40,1.9,44,122,1,F,DB,0,GWAndiF10,Anolis distichus,Andi,NA,NA,NA,NA,NA,NA,1,1,37,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,0,NA,NA,DB,1,1,350,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,10
